Year,CO2 (Tonnes),CO2 (kg)
1970,1.48E+10,1.48E+13
1971,1.54E+10,1.54E+13
1972,1.60E+10,1.60E+13
1973,1.69E+10,1.69E+13
1974,1.69E+10,1.69E+13
1975,1.68E+10,1.68E+13
1976,1.78E+10,1.78E+13
1977,1.84E+10,1.84E+13
1978,1.86E+10,1.86E+13
1979,1.96E+10,1.96E+13
1980,1.94E+10,1.94E+13
1981,1.88E+10,1.88E+13
1982,1.86E+10,1.86E+13
1983,1.85E+10,1.85E+13
1984,1.92E+10,1.92E+13
1985,1.98E+10,1.98E+13
1986,2.04E+10,2.04E+13
1987,2.09E+10,2.09E+13
1988,2.17E+10,2.17E+13
1989,2.22E+10,2.22E+13
1990,2.22E+10,2.22E+13
1991,2.24E+10,2.24E+13
1992,2.22E+10,2.22E+13
1993,2.22E+10,2.22E+13
1994,2.25E+10,2.25E+13
1995,2.30E+10,2.30E+13
1996,2.35E+10,2.35E+13
1997,2.39E+10,2.39E+13
1998,2.40E+10,2.40E+13
1999,2.39E+10,2.39E+13
2000,2.46E+10,2.46E+13
2001,2.51E+10,2.51E+13
2002,2.55E+10,2.55E+13
2003,2.69E+10,2.69E+13
2004,2.82E+10,2.82E+13
2005,2.93E+10,2.93E+13
2006,3.03E+10,3.03E+13
2007,3.09E+10,3.09E+13
2008,3.19E+10,3.19E+13
2009,3.15E+10,3.15E+13
2010,3.31E+10,3.31E+13
2011,3.44E+10,3.44E+13
2012,3.49E+10,3.49E+13
2013,3.52E+10,3.52E+13
2014,3.55E+10,3.55E+13
2015,3.55E+10,3.55E+13
2016,3.57E+10,3.57E+13
2017,3.62E+10,3.62E+13
2018,3.64E+10,3.64E+13
2019,3.66E+10,3.66E+13
2020,3.69E+10,3.69E+13
2021,3.71E+10,3.71E+13
2022,3.73E+10,3.73E+13
2023,3.75E+10,3.75E+13
2024,3.77E+10,3.77E+13
2025,3.80E+10,3.80E+13
2026,3.82E+10,3.82E+13
2027,3.84E+10,3.84E+13
2028,3.87E+10,3.87E+13
2029,3.89E+10,3.89E+13
2030,3.91E+10,3.91E+13
2031,3.94E+10,3.94E+13
2032,3.96E+10,3.96E+13
2033,3.98E+10,3.98E+13
2034,4.01E+10,4.01E+13
2035,4.03E+10,4.03E+13
2036,4.06E+10,4.06E+13
2037,4.08E+10,4.08E+13
2038,4.10E+10,4.10E+13
2039,4.13E+10,4.13E+13
2040,4.15E+10,4.15E+13
2041,4.18E+10,4.18E+13
2042,4.20E+10,4.20E+13
2043,4.23E+10,4.23E+13
2044,4.25E+10,4.25E+13
2045,4.28E+10,4.28E+13
2046,4.31E+10,4.31E+13
2047,4.33E+10,4.33E+13
2048,4.36E+10,4.36E+13
2049,4.38E+10,4.38E+13
2050,4.41E+10,4.41E+13
2051,4.44E+10,4.44E+13
2052,4.46E+10,4.46E+13
2053,4.49E+10,4.49E+13
2054,4.52E+10,4.52E+13
2055,4.54E+10,4.54E+13
2056,4.57E+10,4.57E+13
2057,4.60E+10,4.60E+13
2058,4.63E+10,4.63E+13
2059,4.65E+10,4.65E+13
2060,4.68E+10,4.68E+13
2061,4.71E+10,4.71E+13
2062,4.74E+10,4.74E+13
2063,4.77E+10,4.77E+13
2064,4.80E+10,4.80E+13
2065,4.82E+10,4.82E+13
2066,4.85E+10,4.85E+13
2067,4.88E+10,4.88E+13
2068,4.91E+10,4.91E+13
2069,4.94E+10,4.94E+13
2070,4.97E+10,4.97E+13
2071,5.00E+10,5.00E+13
2072,5.03E+10,5.03E+13
2073,5.06E+10,5.06E+13
2074,5.09E+10,5.09E+13
2075,5.12E+10,5.12E+13
2076,5.15E+10,5.15E+13
2077,5.18E+10,5.18E+13
2078,5.21E+10,5.21E+13
2079,5.25E+10,5.25E+13
2080,5.28E+10,5.28E+13
2081,5.31E+10,5.31E+13
2082,5.34E+10,5.34E+13
2083,5.37E+10,5.37E+13
2084,5.40E+10,5.40E+13
2085,5.44E+10,5.44E+13
2086,5.47E+10,5.47E+13
2087,5.50E+10,5.50E+13
2088,5.54E+10,5.54E+13
2089,5.57E+10,5.57E+13
2090,5.60E+10,5.60E+13
2091,5.64E+10,5.64E+13
2092,5.67E+10,5.67E+13
2093,5.70E+10,5.70E+13
2094,5.74E+10,5.74E+13
2095,5.77E+10,5.77E+13
2096,5.81E+10,5.81E+13
2097,5.84E+10,5.84E+13
2098,5.88E+10,5.88E+13
2099,5.91E+10,5.91E+13
2100,5.95E+10,5.95E+13
2101,5.98E+10,5.98E+13
2102,6.02E+10,6.02E+13
2103,6.06E+10,6.06E+13
2104,6.09E+10,6.09E+13
2105,6.13E+10,6.13E+13
2106,6.16E+10,6.16E+13
2107,6.20E+10,6.20E+13
2108,6.24E+10,6.24E+13
2109,6.28E+10,6.28E+13
2110,6.31E+10,6.31E+13
2111,6.35E+10,6.35E+13
2112,6.39E+10,6.39E+13
2113,6.43E+10,6.43E+13
2114,6.47E+10,6.47E+13
2115,6.51E+10,6.51E+13
2116,6.54E+10,6.54E+13
2117,6.58E+10,6.58E+13
2118,6.62E+10,6.62E+13
2119,6.66E+10,6.66E+13
2120,6.70E+10,6.70E+13
2121,6.74E+10,6.74E+13
2122,6.78E+10,6.78E+13
2123,6.82E+10,6.82E+13
2124,6.87E+10,6.87E+13
2125,6.91E+10,6.91E+13
2126,6.95E+10,6.95E+13
2127,6.99E+10,6.99E+13
2128,7.03E+10,7.03E+13
2129,7.07E+10,7.07E+13
2130,7.12E+10,7.12E+13
2131,7.16E+10,7.16E+13
2132,7.20E+10,7.20E+13
2133,7.25E+10,7.25E+13
2134,7.29E+10,7.29E+13
2135,7.33E+10,7.33E+13
2136,7.38E+10,7.38E+13
2137,7.42E+10,7.42E+13
2138,7.47E+10,7.47E+13
2139,7.51E+10,7.51E+13
2140,7.56E+10,7.56E+13
2141,7.60E+10,7.60E+13
2142,7.65E+10,7.65E+13
2143,7.69E+10,7.69E+13
2144,7.74E+10,7.74E+13
2145,7.78E+10,7.78E+13
2146,7.83E+10,7.83E+13
2147,7.88E+10,7.88E+13
2148,7.93E+10,7.93E+13
2149,7.97E+10,7.97E+13
2150,8.02E+10,8.02E+13
2151,8.07E+10,8.07E+13
2152,8.12E+10,8.12E+13
2153,8.17E+10,8.17E+13
2154,8.22E+10,8.22E+13
2155,8.26E+10,8.26E+13
2156,8.31E+10,8.31E+13
2157,8.36E+10,8.36E+13
2158,8.41E+10,8.41E+13
2159,8.46E+10,8.46E+13
2160,8.52E+10,8.52E+13
2161,8.57E+10,8.57E+13
2162,8.62E+10,8.62E+13
2163,8.67E+10,8.67E+13
2164,8.72E+10,8.72E+13
2165,8.77E+10,8.77E+13
2166,8.83E+10,8.83E+13
2167,8.88E+10,8.88E+13
2168,8.93E+10,8.93E+13
2169,8.99E+10,8.99E+13
2170,9.04E+10,9.04E+13
2171,9.09E+10,9.09E+13
2172,9.15E+10,9.15E+13
2173,9.20E+10,9.20E+13
2174,9.26E+10,9.26E+13
2175,9.32E+10,9.32E+13
2176,9.37E+10,9.37E+13
